revelio_metro,cbsa_code,cbsa_title,match_type,auditor_obs
san diego metropolitan area,41740,"San Diego-Chula Vista-Carlsbad, CA",exact_primary,8075
san francisco metropolitan area,41860,"San Francisco-Oakland-Fremont, CA",exact_primary,32347
san jose metropolitan area (california),41940,"San Jose-Sunnyvale-Santa Clara, CA",partial,13269
savannah metropolitan area,42340,"Savannah, GA",exact_primary,113
seattle metropolitan area,42660,"Seattle-Tacoma-Bellevue, WA",exact_primary,12427
spokane metropolitan area,44060,"Spokane-Spokane Valley, WA",exact_primary,137
springfield metropolitan area,44180,"Springfield, MO",manual_state_fix,67
st louis metropolitan area,41180,"St. Louis, MO-IL",manual,3813
stockton metropolitan area,44700,"Stockton-Lodi, CA",exact_primary,156
syracuse metropolitan area,45060,"Syracuse, NY",exact_primary,1005
tallahassee metropolitan area,45220,"Tallahassee, FL",exact_primary,124
tampa metropolitan area,45300,"Tampa-St. Petersburg-Clearwater, FL",exact_primary,8655
toledo metropolitan area,45780,"Toledo, OH",exact_primary,1192
tucson metropolitan area,46060,"Tucson, AZ",exact_primary,333
tulsa metropolitan area,46140,"Tulsa, OK",exact_primary,2011
virginia beach metropolitan area,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",exact_primary,1272
washington metropolitan area,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",exact_primary,31212
west palm beach metropolitan area,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",manual_submsa,1367
wichita metropolitan area,48620,"Wichita, KS",exact_primary,383
wilmington metropolitan area,48900,"Wilmington, NC",exact_primary,191
