cik,zip,state,city
19584,45202,OH,CINCINNATI
19612,48226,MI,DETROIT
19614,10001,NY,NEW YORK
19617,10017,NY,NEW YORK
19731,23219,VA,RICHMOND
19745,19901,DE,DOVER
20171,07059,NJ,WARREN
20212,40222-5389,KY,LOUISVILLE
20232,11747,NY,MELVILLE
20286,45014,OH,FAIRFIELD
20520,75201,TX,DALLAS
20629,19462,PA,PLYMOUTH MEETING
20639,33065,FL,CORAL SPRINGS
20740,37067,TN,FRANKLIN
21076,94612-1888,CA,OAKLAND
21175,60606,IL,CHICAGO
21178,75240,TX,DALLAS
21212,46515,IN,ELKHART
21344,30313,GA,ATLANTA
21438,01752,MA,MARLBOROUGH
21510,95054,CA,SANTA CLARA
21535,92064-6817,CA,POWAY
21665,10022,NY,NEW YORK
21759,67502,KS,HUTCHINSON
21832,02111,MA,BOSTON
21847,02111,MA,BOSTON
22252,92630,CA,LAKE FOREST
22356,64106,MO,KANSAS CITY
22370,02116,MA,BOSTON
22444,75039,TX,IRVING
22701,11779,NY,RONKONKOMA
22912,21401,MD,ANNAPOLIS
23055,20706-1860,MD,LANHAM
23071,33434-4105,FL,BOCA RATON
23082,22102,VA,TYSONS
23111,14226,NY,AMHERST
23194,75034,TX,FRISCO
23197,85226,AZ,CHANDLER
23217,60654,IL,CHICAGO
23259,28026,NC,CONCORD
23341,08619-0127,NJ,MERCERVILLE
23355,02210,MA,BOSTON
23426,06037-1616,CT,BERLIN
23666,60607,IL,CHICAGO
23675,48105,MI,ANN ARBOR
23795,32789,FL,WINTER PARK
23971,60604,IL,CHICAGO
24090,78758,TX,AUSTIN
24104,60605,IL,CHICAGO
24238,02210,MA,BOSTON
24491,45840,OH,FINDLAY
24545,80401,CO,GOLDEN
24741,14831,NY,CORNING
24751,14830,NY,CORNING
25191,91302,CA,CALABASAS
25212,01863,MA,NORTH CHELMSFORD
25232,30326,GA,ATLANTA
25305,30319,GA,ATLANTA
25354,63103-1790,MO,ST LOUIS
25445,02451,MA,WALTHAM
25475,30092,GA,PEACHTREE CORNERS
25793,02865,RI,LINCOLN
25895,70707,LA,GONZALES
26058,60532,IL,LISLE
26076,92123,CA,SAN DIEGO
26172,47202-3005,IN,COLUMBUS
26262,02116,MA,BOSTON
26324,28036,NC,DAVIDSON
26537,22033,VA,FAIRFAX
26780,43537,OH,MAUMEE
26820,92008,CA,CARLSBAD
26987,93021,CA,MOORPARK
27093,89801,NV,ELKO
27096,07645-9998,NJ,MONTVALE
27419,55403,MN,MINNEAPOLIS
27425,45459,OH,DAYTON
27748,10022,NY,NEW YORK
27751,11553-9357,NY,UNIONDALE
27825,19106-2354,PA,PHILADELPHIA
27904,30354-1989,GA,ATLANTA
27996,55402,MN,MINNEAPOLIS
28367,5180,F4,SHENZHEN
28372,48075,MI,SOUTHFIELD
28385,48226,MI,DETROIT
28412,75201,TX,DALLAS
28452,33432,FL,BOCA RATON
28540,02210,MA,BOSTON
28561,07436,NJ,OAKLAND
28630,07054,NJ,PARSIPPANY
28823,44720,OH,NORTH CANTON
28866,77072,TX,HOUSTON
28917,72201,AR,LITTLE ROCK
29292,10001,NY,NEW YORK
29332,30722,GA,DALTON
29440,94104,CA,SAN FRANCISCO
29534,37072,TN,GOODLETTSVILLE
29644,55431,MN,BLOOMINGTON
29669,60601,IL,CHICAGO
29806,19154-4,PA,PHILADELPHIA
29905,60515,IL,DOWNERS GROVE
29915,48674-2030,MI,MIDLAND
29924,10281,NY,NEW YORK
29989,10017,NY,NEW YORK
30126,60606,IL,CHICAGO
30140,94043,CA,MOUNTAIN VIEW
30146,10286,NY,NEW YORK
30160,10166,NY,NEW YORK
30167,10286,NY,NEW YORK
30302,75019,TX,COPPELL
30305,92626,CA,COSTA MESA
30371,28202,NC,CHARLOTTE
30419,27513,NC,CARY
30554,46268,IN,INDIANAPOLIS
30625,75039,TX,IRVING
30697,43017,OH,DUBLIN
30822,20151,VA,CHANTILLY
30828,60707,IL,CHICAGO
31107,06484,CT,SHELTON
31235,14650-0910,NY,ROCHESTER
31266,02109,MA,BOSTON
31277,44114-2584,OH,CLEVELAND
31347,95054,CA,SANTA CLARA
31462,55102,MN,SAINT PAUL
31617,10165,NY,NEW YORK
31667,74146,OK,TULSA
31791,02451,MA,WALTHAM
31978,79901,TX,EL PASO
32017,75254-1491,TX,DALLAS
32020,71402,PA,YORK
32166,91411-2512,CA,VAN NUYS
32198,30092,GA,NORCROSS
32258,92121,CA,SAN DIEGO
32272,85014,AZ,PHOENIX
32604,63105,MO,ST LOUIS
32621,07054,NJ,PARSIPPANY
32689,64801,MO,JOPLIN
32859,94105,CA,SUITE 1800
32870,60601,IL,CHICAGO
32878,48083,MI,TROY
33002,76065,TX,MIDLOTHIAN
33185,30302,GA,ATLANTA
33213,15317,PA,CANONSBURG
33325,84110,UT,SALT LAKE CITY
33416,16530,PA,ERIE
33533,12866,NY,SARATOGA SPRINGS
33619,98004,WA,BELLEVUE
33656,23217,VA,RICHMOND
33769,43054,OH,NEW ALBANY
34067,80021,CO,BROOMFIELD
34088,77389-1425,TX,SPRING
34115,60192,IL,HOFFMAN ESTATES
34151,44236,OH,HUDSON
34273,01301,MA,GREENFIELD
34285,20871,MD,CLARKSBURG
34339,63132,MO,ST LOUIS
34408,28201-1017,NC,CHARLOTTE
34497,37402,TN,CHATTANOOGA
34549,50266-5997,IA,WEST DES MOINES
34563,76177,TX,FORT WORTH
34645,06401-1601,CT,ANSONIA
34782,46601,IN,SOUTH BEND
34908,48080 1775,MI,ST CLAIR SHORES
35214,44124,OH,MAYFIELD HEIGHTS
35315,02210,MA,BOSTON
35330,02210,MA,BOSTON
35331,02210,MA,BOSTON
35341,02210,MA,BOSTON
35348,02110,MA,BOSTON
35373,02210,MA,BOSTON
35402,02210,MA,BOSTON
35527,45263,OH,CINCINNATI
35616,19106,PA,PHILADELPHIA
35692,77046,TX,HOUSTON
35733,78730,TX,AUSTIN
36029,79601,TX,ABILENE
36032,35023,AL,BIRMINGHAM
36047,92618,CA,IRVINE
36104,55402-7020,MN,MINNEAPOLIS
36146,39201,MS,JACKSON
36270,14203,NY,BUFFALO
36377,96813,HI,HONOLULU
36856,10001,NY,NEW YORK
36966,38103,TN,MEMPHIS
36995,28288-0013,NC,CHARLOTTE
37008,02114,MA,BOSTON
37032,22042-2336,VA,FALLS CHURCH
37472,52001,IA,DUBUQUE
37643,33401,FL,WEST PALM BEACH
37651,32206,FL,JACKSONVILLE
37748,24209,VA,BRISTOL
37785,19104,PA,PHILADELPHIA
37808,15219,PA,PITTSBURGH
37996,48126,MI,DEARBORN
38067,44114,OH,CLEVELAND
38079,77002,TX,HOUSTON
38188,60606,IL,CHICAGO
38264,78701,TX,AUSTIN
38403,10166,NY,NEW YORK
38570,19020,PA,BENSALEM
38721,94403-1906,CA,SAN MATEO
38725,46809,IN,FORT WAYNE
38777,94403,CA,SAN MATEO
38984,75225,TX,DALLAS
39020,11553,NY,MITCHEL FIELD
39092,75601,TX,LONGVIEW
39135,01095,MA,WILBRAHAM
39263,78205,TX,SAN ANTONIO
39273,75247,TX,DALLAS
39311,49525,MI,GRAND RAPIDS
39368,55110-5132,MN,ST PAUL
39436,20814,MD,BETHESDA
39473,92618,CA,IRVINE
39547,28210,NC,CHARLOTTE
39648,55343,MN,MINNETONKA
39677,85253,AZ,SCOTTSDALE
39899,22102-5126,VA,MCLEAN
39911,94105-1205,CA,SAN FRANCISCO
40194,77002,TX,HOUSTON
40211,60606-7147,IL,CHICAGO
40417,10036,NY,NEW YORK
40461,60047,IL,LAKE ZURICH
40533,20190,VA,RESTON
40545,45215,OH,EVENDALE
40570,32256,FL,JACKSONVILLE
40704,55426,MN,MINNEAPOLIS
40729,48226,MI,DETROIT
40730,48265-3000,MI,DETROIT
40888,90245,CA,EL SEGUNDO
40987,30339,GA,ATLANTA
41077,30303,GA,ATLANTA
41133,06074,CT,SOUTH WINDSOR
41499,02199,MA,BOSTON
41719,28269,NC,CHARLOTTE
42293,94612-3575,CA,OAKLAND
42316,32901,FL,MELBOURNE
42542,28217,NC,CHARLOTTE
42582,44316,OH,AKRON
42682,44901,OH,MANSFIELD
42888,55413-1894,MN,MINNEAPOLIS
43196,30319,GA,ATLANTA
43300,07645,NJ,MONTVALE
43350,44114,OH,CLEVELAND
43362,06749,CT,MIDDLEBURY
43498,80111,CO,GREENWOOD VILLAGE
43704,05446,VT,COLCHESTER
43920,43015,OH,DELAWARE
43952,10017,NY,NEW YORK
44201,92618,CA,IRVINE
44402,10104,NY,NEW YORK
44800,22031,VA,FAIRFAX
45012,77032,TX,HOUSTON
45288,02116,MA,BOSTON
45291,02116,MA,BOSTON
45599,30035,GA,DECATUR
45876,19103,PA,PHILADELPHIA
45919,01824,MA,CHELMSFORD
46080,02861,RI,PAWTUCKET
46129,14228,NY,AMHERST
46135,28255,NC,CHARLOTTE
46195,96813,HI,HONOLULU
46250,55113,MN,ROSEVILLE
46267,90245,CA,EL SEGUNDO
46445,44131,OH,SEVEN HILLS
46619,33021,FL,HOLLYWOOD
46640,15222-5448,PA,PITTSBURGH
46653,33762,FL,CLEARWATER
46709,02048,MA,MANSFIELD
46765,74120,OK,TULSA
46989,19894-0001,DE,WILMINGTON
47035,17603-4092,PA,LANCASTER
47111,17033,PA,HERSHEY
47217,94304,CA,PALO ALTO
47288,10017,NY,NEW YORK
47518,60601,IL,CHICAGO
47580,90210,CA,BEVERLY HILLS
48039,75201,TX,DALLAS
48287,52761-7109,IA,MUSCATINE
48465,55912-3680,MN,AUSTIN
48595,10604,NY,WHITE PLAINS
48898,06484-1000,CT,SHELTON
49029,32805,FL,ORLANDO
49196,43287,OH,COLUMBUS
49401,02421,MA,LEXINGTON
49534,76710,TX,WACO
49600,39157,MS,RIDGELAND
49728,14513,NY,NEWARK
49754,91103,CA,PASADENA
49826,60025,IL,GLENVIEW
49905,19087,PA,WAYNE
49930,33069,FL,POMPANO BEACH
49975,02462,MA,NEWTON
50013,92618,CA,IRVINE
50104,45840-3229,OH,FINDLAY
50142,90071,CA,LOS ANGELES
50341,02110,MA,BOSTON
50493,28816,NC,ASHEVILLE
50691,10017,NY,NEW YORK
50710,02140,MA,CAMBRIDGE
